"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Cole Beasley","BUF","NYJ","WR","$4900","10.8","-1.9","1%","15642512"
"Demarcus Robinson","KC","DEN","WR","$3400","7.9","-1.9","3%","15642574"
"Michael Gallup","DAL","WAS","WR","$4600","10.1","-2.0","3%","15642530"
"J.D. McKissic","WAS","DAL","RB","$4600","10.2","-2.0","1%","15642304"
"Rob Gronkowski","TB","LV","TE","$4600","10.0","-2.1","3%","15667835"
"Randall Cobb","HOU","GB","WR","$4300","9.3","-2.2","1%","15642544"
"Drew Lock","DEN","KC","QB","$5100","13.5","-2.4","1%","15642201"
"Darren Fells","HOU","GB","TE","$4100","8.7","-2.4","3%","15642770"
"Dontrelle Inman","WAS","DAL","WR","$3600","7.8","-2.4","1%","15642570"
"Steelers ","PIT","TEN","DST","$3500","5.5","-2.4","7%","15642943"
"Melvin Gordon III","DEN","KC","RB","$5500","11.4","-2.5","3%","15642280"
"Cam Sims","WAS","DAL","WR","$3000","6.5","-2.5","1%","15642642"
"Raiders ","LV","TB","DST","$2400","3.2","-2.6","0%","15667854"
"Keith Kirkwood","CAR","NO","WR","$3000","6.3","-2.7","1%","15642718"
"Adam Humphries","TEN","PIT","WR","$4600","9.4","-2.7","1%","15642526"
"Buccaneers ","TB","LV","DST","$3700","5.7","-2.7","7%","15667853"
"Chase Edmonds","ARI","SEA","RB","$4900","9.9","-2.8","1%","15642292"
"Larry Fitzgerald","ARI","SEA","WR","$4200","8.5","-2.8","1%","15642548"
"La'Mical Perine","NYJ","BUF","RB","$4200","8.5","-2.8","1%","15642312"
"Braxton Berrios","NYJ","BUF","WR","$3200","6.6","-2.8","1%","15642586"
"Texans ","HOU","GB","DST","$2200","2.6","-2.8","1%","15642960"
"Cameron Brate","TB","LV","TE","$2700","5.5","-2.9","1%","15667837"
"Keelan Cole","JAX","LAC","WR","$4700","9.4","-3.0","1%","15642518"
"Jerick McKinnon","SF","NE","RB","$5800","11.5","-3.0","3%","15642276"
"Corey Davis","TEN","PIT","WR","$4800","9.5","-3.0","1%","15642516"
"David Moore","SEA","ARI","WR","$3100","6.1","-3.1","1%","15642588"
"Broncos ","DEN","KC","DST","$2900","3.7","-3.1","1%","15642949"
"Dalton Schultz","DAL","WAS","TE","$3900","7.6","-3.2","1%","15642776"
"Andy Isabella","ARI","SEA","WR","$3900","7.4","-3.3","1%","15642562"
"Tyler Kroft","BUF","NYJ","TE","$3100","5.8","-3.3","1%","15642788"
"James Washington","PIT","TEN","WR","$4100","7.8","-3.3","1%","15642550"
"Rex Burkhead","NE","SF","RB","$4000","7.6","-3.4","1%","15642442"
"Damien Harris","NE","SF","RB","$4500","8.6","-3.4","1%","15642306"
"Rashard Higgins","CLE","CIN","WR","$3000","5.4","-3.5","1%","15642666"
"Devin Singletary","BUF","NYJ","RB","$5800","10.9","-3.6","3%","15642274"
"James O'Shaughnessy","JAX","LAC","TE","$2600","4.6","-3.6","1%","15642816"
"Frank Gore","NYJ","BUF","RB","$4300","7.9","-3.6","1%","15642310"
"Anthony Firkser","TEN","PIT","TE","$3000","5.4","-3.6","1%","15642800"
"CeeDee Lamb","DAL","WAS","WR","$6500","12.0","-3.8","3%","15642472"
"Jerry Jeudy","DEN","KC","WR","$5100","9.3","-3.8","3%","15642506"
"Tim Patrick","DEN","KC","WR","$4600","8.4","-3.8","3%","15642528"
"Will Dissly","SEA","ARI","TE","$2900","4.9","-3.8","1%","15642804"
"Dan Arnold","ARI","SEA","TE","$2600","4.2","-4.0","1%","15642818"
"Zack Moss","BUF","NYJ","RB","$4200","7.3","-4.0","1%","15642314"
"Drew Sample","CIN","CLE","TE","$3200","5.4","-4.0","1%","15642786"
"Kendrick Bourne","SF","NE","WR","$3400","5.7","-4.0","1%","15642576"
"Ian Thomas","CAR","NO","TE","$3000","4.9","-4.1","1%","15642798"
"Deonte Harris","NO","CAR","WR","$3000","4.9","-4.1","1%","15642722"
"Isaiah McKenzie","BUF","NYJ","WR","$3000","4.7","-4.3","1%","15642706"
"Panthers ","CAR","NO","DST","$2900","2.4","-4.3","1%","15642956"
"Brian Hill","ATL","DET","RB","$4000","6.5","-4.4","1%","15642412"
"Duke Johnson","HOU","GB","RB","$4000","6.5","-4.4","1%","15642386"
"Kenny Stills","HOU","GB","WR","$3000","4.5","-4.4","1%","15642658"
"Byron Pringle","KC","DEN","WR","$3000","4.6","-4.4","1%","15642616"
"Scotty Miller","TB","LV","WR","$3700","5.9","-4.4","1%","15667811"
"KJ Hamler","DEN","KC","WR","$3600","5.6","-4.5","1%","15642572"
"Ryan Izzo","NE","SF","TE","$3000","4.5","-4.5","1%","15642796"
"Jesse James","DET","ATL","TE","$2500","3.3","-4.6","1%","15642900"
"Jalen Guyton","LAC","JAX","WR","$3200","4.6","-4.7","1%","15642582"
"Denzel Mims","NYJ","BUF","WR","$3000","4.3","-4.7","1%","15642700"
"Albert Okwuegbunam","DEN","KC","TE","$2500","3.0","-5.0","1%","15642844"
"Josh Hill","NO","CAR","TE","$2500","3.0","-5.0","1%","15642924"
"Ryan Griffin","NYJ","BUF","TE","$2900","3.7","-5.0","1%","15642802"
"Curtis Samuel","CAR","NO","WR","$3900","5.7","-5.1","1%","15642558"
"Pharaoh Brown","HOU","GB","TE","$2500","2.8","-5.1","1%","15642884"
"Foster Moreau","LV","TB","TE","$2500","2.9","-5.1","0%","15667847"
"Vance McDonald","PIT","TEN","TE","$2600","3.1","-5.1","1%","15642814"
"Adrian Peterson","DET","ATL","RB","$4600","7.0","-5.2","1%","15642302"
"Tyler Davis","JAX","LAC","TE","$2500","2.7","-5.2","0%","15642828"
"Chris Conley","JAX","LAC","WR","$3000","3.6","-5.4","1%","15642592"
"Zay Jones","LV","TB","WR","$3000","3.5","-5.4","1%","15667827"
"Mike Thomas","CIN","CLE","WR","$3000","3.3","-5.7","1%","15642676"
"Cedrick Wilson","DAL","WAS","WR","$3300","3.9","-5.7","1%","15642580"
"Marcedes Lewis","GB","HOU","TE","$2500","2.3","-5.7","0%","15642878"
"JaMycal Hasty","SF","NE","RB","$4200","5.6","-5.7","3%","15642316"
"Jace Sternberger","GB","HOU","TE","$2500","2.1","-5.9","1%","15642876"
"Leonard Fournette","TB","LV","RB","$4600","6.3","-5.9","1%","15667787"
"Jeff Wilson Jr.","SF","NE","RB","$4000","4.9","-6.0","1%","15642436"
"Darrell Daniels","ARI","SEA","TE","$2700","2.2","-6.1","1%","15642810"
"Jason Witten","LV","TB","TE","$2500","1.9","-6.1","1%","15667845"
"Tanner Hudson","TB","LV","TE","$2500","1.8","-6.2","0%","15667839"
"Kalif Raymond","TEN","PIT","WR","$3200","3.1","-6.2","1%","15642584"
"Jalen Richard","LV","TB","RB","$4000","4.6","-6.3","1%","15667795"
